id	label	query
0_3_24	3	SELECT teaches.course_id, course.title, teaches.id FROM course, teaches WHERE (teaches.semester = '' AND teaches.year = 2010) AND (course.course_id = teaches.course_id)
0_3_25	3	SELECT teaches.course_id, course.title, teaches.id FROM teaches, section, course WHERE teaches.course_id = section.course_id AND section.course_id = course.course_id AND teaches.year = section.year AND teaches.sec_id = section.sec_id AND teaches.semester = section.semester AND teaches.semester = '' AND teaches.year = 2010
0_3_26	3	SELECT DISTINCT course.course_id, course.title, teaches.id FROM course, section, teaches WHERE course.course_id = section.course_id AND section.course_id = teaches.course_id AND section.sec_id = teaches.sec_id AND section.year = teaches.year AND section.semester = teaches.semester AND section.semester = '' AND section.year = 2010
0_3_27	3	SELECT teaches.course_id, course.title, teaches.id FROM teaches, course WHERE (teaches.course_id = course.course_id) AND (teaches.year = '' AND teaches.semester = '')
0_3_28	3	SELECT teaches.course_id, title, id AS professor_id, semester FROM teaches, course WHERE teaches.course_id = course.course_id AND semester = '' AND year = ''
0_3_29	3	SELECT teaches.id, teaches.course_id, course.course_id FROM teaches, course WHERE teaches.course_id = course.course_id AND year = 2010 AND semester = ''
0_3_30	3	SELECT teaches.course_id, title, id FROM course, teaches WHERE year = '' AND semester = '' AND teaches.course_id = course.course_id
0_3_31	3	SELECT teaches.course_id, course.title, teaches.id FROM teaches, course, section WHERE course.course_id = section.course_id AND section.course_id = teaches.course_id AND section.sec_id = teaches.sec_id AND section.semester = teaches.semester AND section.year = teaches.year AND section.semester = '' AND section.year = 2010
0_3_32	3	SELECT course_id, title, id FROM teaches NATURAL JOIN section NATURAL JOIN course WHERE semester = '' AND year = 2010
0_3_33	3	SELECT teaches.course_id, title, id FROM teaches, course WHERE course.course_id = teaches.course_id AND teaches.semester = '' AND teaches.year = 2010
0_3_34	3	SELECT teaches.course_id, course.title, teaches.id AS instructorid FROM course, instructor, teaches WHERE teaches.id = instructor.id AND teaches.course_id = course.course_id AND teaches.semester = '' AND teaches.year = ''
0_3_35	3	SELECT DISTINCT course.course_id, title, id FROM course, teaches, section WHERE section.year = 2010 AND teaches.semester = '' AND section.course_id = course.course_id AND teaches.course_id = course.course_id
0_3_36	3	SELECT section.course_id, course.title, teaches.id FROM course, section, teaches WHERE section.course_id = course.course_id AND section.course_id = teaches.course_id AND section.sec_id = teaches.sec_id AND section.semester = teaches.semester AND section.year = teaches.year AND section.semester = '' AND section.year = ''
0_3_37	3	SELECT course.course_id, title, id AS instructor_id FROM teaches, course WHERE course.course_id = teaches.course_id AND teaches.year = 2010 AND teaches.semester = ''
0_3_38	3	SELECT teaches.course_id, course.title, teaches.id FROM teaches, course WHERE teaches.semester = '' AND teaches.year = '' AND teaches.course_id = course.course_id
0_3_39	3	SELECT DISTINCT teaches.course_id, course.title, teaches.id FROM teaches, course, takes WHERE teaches.semester = '' AND teaches.year = '' AND course.course_id = teaches.course_id
0_3_40	3	SELECT DISTINCT course.course_id, course.title, teaches.id FROM course, section, teaches WHERE section.year = 2010 AND section.semester = '' AND section.course_id = course.course_id AND teaches.course_id = section.course_id AND teaches.sec_id = section.sec_id AND teaches.semester = section.semester AND teaches.year = section.year
0_3_41	3	SELECT course.course_id, course.title, instructor.id FROM teaches, course, instructor WHERE course.course_id = teaches.course_id AND instructor.id = teaches.id AND teaches.semester = '' AND teaches.year = 2010
0_3_42	3	SELECT teaches.course_id, course.title, teaches.id FROM teaches, course WHERE course.course_id = teaches.course_id AND teaches.year = '' AND teaches.semester = ''
0_3_43	3	SELECT course.course_id, title, teaches.id FROM course, teaches WHERE semester = '' AND year = 2010 AND course.course_id = teaches.course_id
0_3_44	3	SELECT course_id, title, instructor.id FROM teaches, course WHERE teaches.course_id = course.course_id AND teaches.semester = '' AND teaches.year = ''
0_3_45	3	SELECT teaches.course_id, course.title, teaches.id FROM course, teaches WHERE course.course_id = teaches.course_id AND teaches.year = 2010 AND teaches.semester = ''
0_3_46	3	SELECT teaches.course_id, title, id FROM course, teaches WHERE teaches.course_id = course.course_id AND year = 2010 AND semester = ''
0_3_47	3	SELECT course.course_id, teaches.id, course.title FROM course, teaches WHERE teaches.semester = '' AND teaches.year = ''
0_3_48	3	SELECT course.course_id, course.title, instructor.id FROM course, instructor, section WHERE section.year = 2010 AND section.semester = ''
0_3_49	3	SELECT course_id, title, id FROM course NATURAL JOIN instructor NATURAL JOIN teaches WHERE semester = '' AND year = 2010
0_3_50	3	SELECT teaches.id, teaches.course_id, course.title FROM teaches, course WHERE teaches.semester = '' AND teaches.year = '' AND teaches.course_id = course.course_id
0_3_51	3	SELECT DISTINCT teaches.course_id, course.title, teaches.id AS instructor_id FROM course, instructor, teaches, section WHERE teaches.course_id = section.course_id AND section.course_id = course.course_id AND instructor.id = teaches.id AND teaches.year = '' AND teaches.semester = ''
0_3_52	3	SELECT course_id, title, id AS instructor_id FROM course NATURAL JOIN teaches WHERE semester = '' AND year = ''
0_3_53	3	SELECT teaches.course_id, course.title, instructor.name FROM course, instructor, teaches WHERE course.course_id = teaches.course_id AND teaches.year = 2010 AND teaches.semester = '' AND teaches.id = instructor.id
0_3_54	3	SELECT course.course_id, course.title, instructor.id FROM instructor, teaches, section, course WHERE instructor.id = teaches.id AND teaches.course_id = section.course_id AND teaches.sec_id = section.sec_id AND teaches.semester = section.semester AND teaches.year = section.year AND section.course_id = course.course_id AND section.year = 2010 AND section.semester = ''
0_3_55	3	SELECT course.course_id, title, id FROM course, teaches WHERE semester = '' AND year = '' AND teaches.course_id = course.course_id
0_3_56	3	SELECT course.course_id, course.title, teaches.id FROM section, teaches, course WHERE course.course_id = section.course_id AND teaches.course_id = section.course_id AND teaches.sec_id = section.sec_id AND teaches.semester = section.semester AND teaches.year = section.year AND section.semester = '' AND section.year = 2010
0_4_1	4	SELECT DISTINCT id, name FROM student NATURAL JOIN takes WHERE takes.course_id = ''
0_4_2	4	SELECT DISTINCT student.id, student.name FROM student, takes WHERE student.id = takes.id AND takes.course_id = ''
0_4_3	4	SELECT DISTINCT id, name FROM takes NATURAL JOIN student WHERE course_id = ''
0_4_4	4	SELECT student.id, student.name FROM student, takes WHERE student.id = takes.id AND takes.course_id = ''
0_4_5	4	SELECT DISTINCT takes.id, student.name FROM takes, student WHERE takes.id = student.id AND takes.course_id = ''
0_4_6	4	SELECT id, name FROM student NATURAL JOIN takes WHERE course_id = ''
0_4_7	4	SELECT DISTINCT student.id, student.name FROM student, takes WHERE takes.id = student.id AND takes.course_id = ''
0_4_8	4	SELECT DISTINCT student.id, student.name FROM student, takes WHERE takes.course_id = '' AND student.id = takes.id
0_4_9	4	SELECT DISTINCT takes.id, name FROM takes, student WHERE student.id = takes.id AND course_id = ''
0_4_10	4	SELECT DISTINCT id, name FROM student NATURAL JOIN takes WHERE course_id = ''
0_4_11	4	SELECT DISTINCT student.name FROM student, takes WHERE student.id = takes.id AND takes.course_id = ''
0_4_12	4	SELECT takes.id, name FROM student, takes WHERE takes.id = student.id AND takes.course_id = ''
0_4_13	4	SELECT takes.id, student.name FROM takes, student WHERE takes.course_id = '' AND takes.id = student.id
0_4_14	4	SELECT DISTINCT student.id, student.name FROM takes, student WHERE takes.course_id = '' AND takes.id = student.id
0_4_15	4	SELECT DISTINCT student.id, student.name FROM student, takes WHERE takes.course_id = '' AND takes.id = student.id
0_4_16	4	SELECT student.id, student.name FROM takes, student WHERE takes.id = student.id AND takes.course_id = ''
0_4_17	4	SELECT DISTINCT student.id, student.name FROM takes, student WHERE student.id = takes.id AND course_id = ''
0_4_18	4	SELECT * FROM (SELECT id FROM takes WHERE course_id = '') arbit JOIN (SELECT name, id FROM student) arbit1 ON arbit.id = arbit1.id
0_4_19	4	SELECT DISTINCT takes.id, student.name FROM student, takes WHERE takes.id = student.id AND takes.course_id = ''
0_4_20	4	SELECT student.id, student.name FROM student, takes WHERE takes.course_id = '' AND takes.id = student.id
0_4_21	4	SELECT DISTINCT takes.id, student.name FROM student, takes WHERE student.id = takes.id AND takes.course_id = ''
0_4_22	4	SELECT id FROM student NATURAL JOIN takes WHERE course_id = ''
0_4_23	4	SELECT student.id, student.name FROM student, takes WHERE takes.id = student.id AND takes.course_id = ''
0_4_24	4	SELECT student.id, student.name FROM student, takes WHERE student.id = takes.id AND takes.course_id = '' AND takes.year < 2011
0_4_25	4	SELECT student.id, name FROM student, course, takes WHERE (student.id = takes.id AND course.course_id = takes.course_id) AND takes.course_id = ''
0_4_26	4	SELECT student.id, student.name FROM takes, student WHERE takes.course_id = '' AND takes.id = student.id
0_4_27	4	SELECT DISTINCT takes.id, student.name FROM takes, student WHERE takes.course_id = '' AND takes.id = student.id
0_4_28	4	SELECT DISTINCT student.id, student.name FROM student, takes WHERE takes.course_id = ''
0_4_29	4	SELECT student.id, name FROM student, takes WHERE course_id = '' AND student.id = takes.id
0_4_30	4	SELECT id, name FROM takes NATURAL JOIN student WHERE course_id = ''
0_5_1	5	SELECT department.dept_name FROM department, section, course WHERE course.dept_name = department.dept_name AND section.course_id = course.course_id AND section.semester = ''
0_5_2	5	SELECT DISTINCT course.dept_name FROM course, takes WHERE course.course_id = takes.course_id AND takes.semester = '' AND takes.year = ''
0_5_3	5	SELECT DISTINCT department.dept_name FROM department, section WHERE section.semester = '' AND section.year = ''
0_5_4	5	SELECT DISTINCT dept_name FROM (SELECT course.dept_name, section.course_id FROM course, section WHERE section.semester = '' AND section.year = '' AND section.course_id = course.course_id) s
0_5_5	5	SELECT DISTINCT course.dept_name FROM course, section WHERE course.course_id = section.course_id AND section.semester = '' AND section.year = 2010
0_5_6	5	SELECT DISTINCT department.dept_name FROM department, section WHERE section.year = 2010 AND section.semester = ''
0_5_7	5	SELECT course.dept_name FROM course, section WHERE course.course_id = section.course_id AND semester = '' AND year = 2010
0_5_8	5	SELECT DISTINCT dept_name FROM course NATURAL JOIN section WHERE semester = '' AND year = 2010
0_5_9	5	SELECT DISTINCT dept_name FROM section, course WHERE section.year = '' AND section.semester = '' AND section.course_id = course.course_id
0_5_10	5	SELECT DISTINCT course.dept_name FROM section, course WHERE section.course_id = course.course_id AND section.semester = '' AND section.year = 2010
0_5_11	5	SELECT DISTINCT department.dept_name FROM course, department WHERE course.dept_name = department.dept_name
0_5_12	5	SELECT DISTINCT dept_name FROM course, section WHERE course.course_id = section.course_id AND year = 2010 AND semester = ''
0_5_13	5	SELECT DISTINCT course.dept_name FROM course, section WHERE section.year = '' AND section.semester = ''
0_5_14	5	SELECT DISTINCT course.dept_name FROM course, section WHERE semester = '' AND year = '' AND course.course_id = section.course_id
0_5_15	5	SELECT DISTINCT course.dept_name FROM section, course WHERE semester = '' AND year = 2010 AND course.course_id = section.course_id
0_5_16	5	SELECT DISTINCT dept_name FROM section NATURAL JOIN course NATURAL JOIN department WHERE semester = '' AND year = ''
0_5_17	5	SELECT DISTINCT department.dept_name FROM course, department, section WHERE course.dept_name = department.dept_name AND course.course_id = section.course_id AND section.semester = '' AND section.year = 2010
0_5_18	5	SELECT DISTINCT course.dept_name FROM course, section WHERE section.semester = '' AND section.course_id = course.course_id AND section.year = ''
0_5_19	5	SELECT DISTINCT dept_name FROM teaches, course WHERE teaches.course_id = course.course_id AND semester = '' AND year = 2010
0_5_20	5	SELECT DISTINCT instructor.dept_name FROM instructor JOIN teaches ON instructor.id = teaches.id AND teaches.semester = '' AND teaches.year = ''
0_5_21	5	SELECT DISTINCT course.dept_name FROM course, section WHERE (section.semester = '' AND year = 2010) AND (course.course_id = section.course_id)
0_5_22	5	SELECT DISTINCT course.dept_name FROM course, section WHERE section.course_id = course.course_id AND section.semester = '' AND section.year = 2010
0_5_23	5	SELECT DISTINCT department.dept_name FROM section, course, department WHERE section.course_id = course.course_id AND course.dept_name = department.dept_name AND semester = '' AND year = 2010
0_5_24	5	SELECT DISTINCT course.dept_name FROM course, section WHERE course.course_id = section.course_id AND section.semester = '' AND section.year = ''
0_5_25	5	SELECT DISTINCT course.dept_name FROM section, course WHERE section.course_id = course.course_id AND semester = '' AND year = ''
0_5_26	5	SELECT DISTINCT dept_name FROM course, section WHERE section.semester = '' AND section.year = 2010 AND section.course_id = course.course_id
0_5_27	5	SELECT DISTINCT dept_name FROM course, section WHERE section.course_id = course.course_id AND section.semester = '' AND section.year = ''
0_5_28	5	SELECT department.dept_name FROM department, course, section WHERE section.course_id = course.course_id AND course.dept_name = department.dept_name AND section.semester = '' AND section.year = 2010
0_5_29	5	SELECT DISTINCT dept_name FROM section, course WHERE course.course_id = section.course_id AND section.semester = '' AND section.year = 2010
0_5_30	5	SELECT DISTINCT teaches.course_id FROM course, teaches WHERE teaches.course_id = course.course_id AND teaches.semester = '' AND teaches.year = ''
0_5_31	5	SELECT DISTINCT course.dept_name FROM course, section WHERE section.semester = '' AND section.course_id = course.course_id AND section.year = 2010
0_5_32	5	SELECT DISTINCT department.dept_name FROM department, course, teaches WHERE teaches.semester = '' AND teaches.year = 2010 AND department.dept_name = course.dept_name AND teaches.course_id = course.course_id
0_5_33	5	SELECT DISTINCT dept_name FROM course NATURAL JOIN section WHERE semester = '' AND year = ''
0_5_34	5	SELECT DISTINCT dept_name FROM section, course WHERE course.course_id = section.course_id AND (section.year = 2010 AND section.semester = '')
0_5_35	5	SELECT DISTINCT course.dept_name FROM course, teaches WHERE course.course_id = teaches.course_id AND teaches.semester = '' AND teaches.year = ''
0_5_36	5	SELECT DISTINCT department.dept_name FROM department, course, section WHERE section.course_id = course.course_id AND course.dept_name = department.dept_name AND section.semester = '' AND section.year = 2010
0_5_37	5	SELECT DISTINCT department.dept_name FROM department, course, teaches WHERE course.course_id = teaches.course_id AND semester = '' AND year = ''
0_5_38	5	SELECT DISTINCT course.dept_name FROM section, course WHERE section.course_id = course.course_id AND section.year = '' AND section.semester = ''
0_5_39	5	SELECT DISTINCT dept_name FROM instructor, teaches WHERE teaches.semester = '' AND teaches.year = 2010 AND teaches.id = instructor.id
0_5_40	5	SELECT DISTINCT course.dept_name FROM course, teaches WHERE teaches.semester = '' AND teaches.year = '' AND teaches.course_id = course.course_id
0_5_41	5	SELECT DISTINCT instructor.dept_name FROM teaches, instructor WHERE teaches.id = instructor.id AND teaches.semester = '' AND teaches.year = ''
0_5_42	5	SELECT DISTINCT course.dept_name FROM course, section WHERE section.semester = '' AND section.year = '' AND section.course_id = course.course_id
0_5_43	5	SELECT DISTINCT course.dept_name FROM course, teaches WHERE course.course_id = teaches.course_id AND teaches.semester = '' AND teaches.year = 2010
0_5_44	5	SELECT DISTINCT dept_name FROM teaches, instructor WHERE teaches.semester = '' AND teaches.year = '' AND teaches.id = instructor.id
0_5_45	5	SELECT dept_name FROM department, section WHERE year = '' AND semester = ''
0_5_46	5	SELECT DISTINCT dept_name FROM course WHERE course_id IN (SELECT course_id FROM takes WHERE semester = '' AND year = 2010)
0_5_47	5	SELECT DISTINCT department.dept_name FROM section, course, department WHERE section.course_id = course.course_id AND course.dept_name = department.dept_name AND section.year = '' AND section.semester = ''
0_5_48	5	SELECT DISTINCT dept_name FROM section NATURAL JOIN course WHERE semester = '' AND year = ''
0_5_49	5	SELECT DISTINCT department.dept_name FROM section, course, department WHERE section.semester = '' AND section.year = 2010 AND section.course_id = course.course_id AND course.dept_name = department.dept_name
0_5_50	5	SELECT DISTINCT course.dept_name FROM course, section WHERE section.year = 2010 AND section.semester = '' AND section.course_id = course.course_id
0_5_51	5	SELECT DISTINCT course.dept_name FROM section, course WHERE section.course_id = course.course_id AND section.year = 2010 AND section.semester = ''
1_1_1	6	SELECT course_id, title FROM course WHERE credits > 3
1_1_2	6	SELECT course_id, title FROM course WHERE credit > 3
1_1_3	6	SELECT course_id, title FROM course WHERE credits < 3
1_1_4	6	SELECT course_id, title, credits FROM course WHERE credits > 3
1_1_5	6	SELECT id, title FROM course WHERE credits > 3
1_2_1	7	WITH t AS (SELECT DISTINCT id, course_id FROM takes NATURAL JOIN section) SELECT course.course_id, count(DISTINCT id) FROM course LEFT OUTER JOIN t ON (t.course_id = course.course_id) GROUP BY course.course_id
1_2_2	7	SELECT course_id, CASE WHEN count(DISTINCT id) IS NOT NULL THEN count(DISTINCT id) WHEN count(DISTINCT id) IS NULL THEN 0 END AS number_of_students FROM takes GROUP BY course_id
1_2_3	7	SELECT course_id, count(id) FROM (SELECT DISTINCT id, course_id FROM takes NATURAL JOIN course) a GROUP BY course_id
1_2_4	7	SELECT course_id, count(id) FROM takes GROUP BY course_id
1_2_5	7	SELECT course.course_id, (SELECT count(takes.course_id) FROM takes WHERE course.course_id = takes.course_id) AS num_students FROM course
1_2_6	7	SELECT course.course_id, (SELECT count(DISTINCT takes.id) FROM takes WHERE course.course_id = takes.course_id) FROM course
1_2_7	7	SELECT course_id, count(id) FROM course LEFT OUTER JOIN takes USING (course_id) GROUP BY course_id
1_2_8	7	SELECT course_id, 0 FROM (SELECT DISTINCT course_id, 0 FROM course) a
1_2_9	7	SELECT course_id, count(DISTINCT id) FROM takes GROUP BY course_id
1_2_10	7	SELECT DISTINCT course_id, (SELECT count(a.id) FROM takes AS a WHERE a.course_id = b.course_id) FROM takes AS b
1_2_11	7	SELECT course_id, count(DISTINCT id) FROM takes GROUP BY course_id UNION SELECT DISTINCT course_id, 0 FROM course WHERE course_id NOT IN (SELECT course_id FROM takes)
1_2_12	7	SELECT course_id, count(DISTINCT id) FROM student NATURAL JOIN takes GROUP BY course_id
1_2_13	7	WITH coursestaken AS (SELECT course_id, count(*) FROM (SELECT DISTINCT id, course_id FROM takes) a GROUP BY course_id) SELECT * FROM coursestaken UNION SELECT course.course_id, 0 FROM course WHERE course.course_id NOT IN (SELECT course_id FROM coursestaken)
1_2_14	7	SELECT course_id, count(*) FROM (SELECT DISTINCT id, course_id FROM takes) a GROUP BY course_id
1_2_15	7	WITH data AS (SELECT course.title, student.id FROM course, takes, student WHERE takes.id = student.id AND takes.course_id = course.course_id) SELECT DISTINCT data.id, (SELECT count(id) FROM data AS d WHERE d.title = data.title) AS students FROM data
1_2_16	7	SELECT course_id, count(course_id) FROM takes GROUP BY course_id
1_2_17	7	SELECT DISTINCT course_id, count(*) AS count FROM takes GROUP BY course_id
1_2_18	7	SELECT course.course_id, (SELECT count(*) FROM takes WHERE course.course_id = takes.course_id AND takes.grade <> '') AS num_students FROM course
1_2_19	7	SELECT * FROM (SELECT course_id, count(id) AS count FROM takes GROUP BY course_id) a
1_2_20	7	SELECT DISTINCT course.course_id, (SELECT count(DISTINCT takes.id) FROM takes WHERE takes.course_id = course.course_id) AS count_val FROM course
1_2_21	7	SELECT course_id, count(DISTINCT id) AS id FROM takes GROUP BY course_id UNION SELECT course_id, 0 AS id FROM course WHERE course_id NOT IN (SELECT course_id FROM takes)
1_2_22	7	SELECT course_id, count(*) AS students FROM takes GROUP BY course_id
1_2_23	7	WITH dis AS (SELECT DISTINCT takes.course_id, count(DISTINCT takes.id) FROM takes GROUP BY takes.course_id) SELECT course.course_id, 0 FROM course WHERE course.course_id NOT IN (SELECT course_id FROM dis) UNION SELECT * FROM dis
1_2_24	7	SELECT course.course_id, count(DISTINCT id) FROM takes RIGHT OUTER JOIN course ON (takes.course_id = course.course_id) GROUP BY course.course_id
1_2_25	7	WITH tab AS (SELECT course_id AS course_id FROM course NATURAL JOIN takes NATURAL JOIN student) SELECT DISTINCT course_id, count(*) FROM tab GROUP BY course_id UNION SELECT course.course_id, 0 FROM course, tab WHERE course.course_id NOT IN (SELECT course_id FROM tab)
1_2_26	7	WITH selected AS (SELECT course_id, count(DISTINCT id) FROM takes GROUP BY (course_id)) SELECT * FROM selected
1_2_27	7	SELECT course_id, count(*) FROM (SELECT DISTINCT course_id, takes.id FROM takes NATURAL JOIN section) a GROUP BY course_id
1_2_28	7	SELECT course_id, count(course_id) FROM (SELECT DISTINCT course_id, id FROM takes) a GROUP BY course_id
1_2_29	7	WITH taken_courses AS (SELECT course_id, count(*) FROM (SELECT DISTINCT id, course_id FROM takes) a GROUP BY course_id) SELECT * FROM taken_courses UNION SELECT DISTINCT course.course_id, 0 FROM course WHERE course.course_id NOT IN (SELECT course_id FROM taken_courses)
1_2_30	7	SELECT course.course_id, count(DISTINCT id) FROM takes RIGHT OUTER JOIN course ON (course.course_id = takes.course_id) GROUP BY course.course_id
1_2_31	7	SELECT DISTINCT course_id, count(id) FROM takes GROUP BY course_id
1_2_32	7	SELECT course_id, no_student FROM (SELECT course_id, count(*) AS no_student FROM takes GROUP BY course_id) a
1_2_33	7	WITH t AS (SELECT DISTINCT id, course_id FROM takes NATURAL JOIN section) SELECT course.course_id, count(*) FROM t RIGHT OUTER JOIN course ON (t.course_id = course.course_id) GROUP BY course.course_id
1_2_34	7	SELECT course_id, count(course_id) FROM takes GROUP BY course_id UNION SELECT course_id, 0 AS zero FROM course
1_2_35	7	SELECT course_id, count(DISTINCT id) FROM takes GROUP BY course_id UNION SELECT course_id, 0 AS credits FROM course WHERE course_id NOT IN (SELECT course_id FROM takes)
1_2_36	7	SELECT DISTINCT course_id, count(id) AS total_students FROM (SELECT * FROM section NATURAL JOIN takes) t GROUP BY course_id UNION SELECT DISTINCT course.course_id, 0 AS total_students FROM course WHERE course.course_id NOT IN (SELECT DISTINCT section.course_id FROM section)
1_2_37	7	SELECT course_id, count(course_id) FROM (SELECT DISTINCT id, course_id FROM takes) a GROUP BY course_id
1_2_38	7	SELECT course_id, 0 FROM course AS except
1_2_39	7	SELECT course_id, count(DISTINCT id) FROM takes GROUP BY course_id UNION SELECT DISTINCT course_id, 0 FROM course AS except
1_2_40	7	SELECT course_id, count(id) FROM (SELECT DISTINCT course.course_id, id FROM takes RIGHT OUTER JOIN course ON (takes.course_id = course.course_id)) a GROUP BY course_id
1_2_41	7	SELECT course_id, count(*) FROM (SELECT DISTINCT student.id AS id, takes.course_id AS course_id FROM student, takes WHERE takes.id = student.id) a GROUP BY course_id
1_2_42	7	SELECT DISTINCT course.course_id, (SELECT count(DISTINCT takes.id) FROM takes, student WHERE takes.course_id = course.course_id AND takes.id = student.id) FROM course
1_3_1	8	SELECT course_id, title FROM course NATURAL JOIN section WHERE semester = '' AND year = 2010
1_3_2	8	SELECT course_id, title FROM section NATURAL JOIN course WHERE semester = '' AND year = 2010 AND course_id NOT IN (SELECT course_id FROM prereq)
1_3_3	8	SELECT course_id, title FROM course NATURAL JOIN teaches WHERE semester = '' AND year = 2010
1_3_4	8	SELECT course_id, title FROM course NATURAL JOIN section WHERE year = 2010 AND semester = '' AND course_id NOT IN (SELECT course_id FROM prereq)
1_3_5	8	SELECT course.course_id, course.title FROM section, course WHERE section.course_id = course.course_id AND section.semester = '' AND section.year = 2010
1_3_6	8	SELECT DISTINCT course_id FROM section WHERE semester = '' AND year = ''
1_3_7	8	SELECT DISTINCT course_id, course.title FROM course NATURAL JOIN section WHERE section.semester = '' AND section.year = 2010
1_3_8	8	SELECT course_id, title FROM course AS except
1_3_9	8	SELECT DISTINCT section.course_id, course.title FROM section, course WHERE course.course_id = section.course_id AND semester = '' AND year = '' AND course.course_id NOT IN (SELECT course_id FROM prereq)
1_3_10	8	SELECT section.course_id, course.title FROM section, course WHERE section.course_id = course.course_id AND section.semester = '' AND section.year = 2010
1_3_11	8	SELECT course.course_id, course.title FROM course, section, prereq WHERE course.course_id = course.title AND section.semester = '' AND section.year = '' AND course.course_id NOT IN (SELECT course_id FROM prereq)
1_3_12	8	SELECT course.course_id, title FROM course, section WHERE course.course_id = section.course_id AND semester = '' AND year = 2010
1_3_13	8	SELECT course_id, title FROM course NATURAL JOIN section WHERE year = 2010 AND semester = ''
