Year	StudentID	Score	Note	Answer	Normalization	fixing error
2014	36208573	14	empty	empty	"SELECT DISTINCT Count(species) FROM Sightings S, Birds B WHERE B.bid = S.bid AND S.oid IN (SELECT oid, COUNT(*) as saw FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid ORDER BY saw DESC LIMIT 1)"	empty
2014	36294540	15	empty	"Select count(distinct b.species) From Sightings S, Birds B Where S.bid = B.bid AND oid IN (Select oid From (Select oid, count(*) as numsaw From Sightings where when = '12/15/2013' Group by oid) t Where t.numsaw = MAX(t.numsaw))"	"SELECT Count(DISTINCT b.species) FROM Sightings S, Birds B Where S.bid = B.bid AND oid IN (SELECT oid FROM (SELECT oid, Count(*) as numsaw FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid) t WHERE t.numsaw = MAX(t.numsaw))"	empty
2014	36508572	12	empty	"SELECT Distinct B.species FROM Bird B, Sightings S, (SELECT s.oid, count(*) as C FROM Sightings S WHERE S.when = 'December 15, 2013' GROUP BY S.oid) A WHERE A.oid = S.oid AND A.C = MAX(A.C) AND S.bid = B.bid"	"SELECT DISTINCT B.species FROM Bird B, (SELECT S.oid, Count(*) as C FROM Sightings S WHERE S.when = date('2013-12-15') GROUP BY S.oid) A, Sightings S WHERE A.oid = S.oid AND A.C = MAX(A.C) AND S.bid = B.bid"	empty
2014	36724918	12	empty	select distinct species from birds b where birds.bid in (select s1.bid from sightings s1 where s1.oid = (select s2.oid from sightings s2 where s2.date = 12/15/13 group by s2.oid having count(*) = max(count(*))))	SELECT DISTINCT species FROM Birds b WHERE Birds.bid IN (SELECT s1.bid FROM Sightings s1 WHERE s1.oid = (SELECT s2.oid FROM Sightings s2 WHERE s2.date = date('2013-12-15') GROUP BY s2.oid HAVING Count(*) = MAX(Count(*))))	empty
2014	37012148	3	empty	SELECT COUNT(O.bid) FROM (SELECT * FROM Sightings S WHERE S.when = 12/15/2013) O WHERE COUNT(O.bid) = MAX(COUNT(O.bid))	SELECT Count(O.bid) FROM (SELECT * FROM Sightings S WHERE S.when = date('2013-12-15')) O WHERE COUNT(O.bid) = MAX(Count(O.bid))	empty
2014	37529819	3	incomplete	[incomplete query]	empty	empty
2014	37610929	12	empty	"SELECT count(distinct b.species) FROM BIRDS b, Sightings S1 WHERE S1.bid = b.bid AND s1.oid IN (SELECT S2.oid, MAX(count*) FROM Sightings S2 GROUP BY S2.oid)"	"SELECT Count(DISTINCT b.species) FROM Birds b, Sightings S1 WHERE S1.bid = b.bid AND s1.oid IN (SELECT S2.oid, MAX(count(*)) FROM Sightings S2 GROUP BY S2.oid)"	empty
2014	50024515	12	WHERE --> HAVING	empty	"SELECT Count(B.species) FROM (SELECT species FROM Birds B, Sightings S, (SELECT oid FROM Sightings GROUP BY oid WHERE Count(*) = (SELECT MAX(cnt) FROM (SELECT Count(*) AS cnt FROM Sightings GROUP BY oid))) t WHERE B.bid = S.bid AND S.oid = t.oid"	"SELECT Count(B.species) FROM (SELECT species FROM Birds B, Sightings S, (SELECT oid FROM Sightings GROUP BY oid HAVING Count(*) = (SELECT MAX(cnt) FROM (SELECT Count(*) AS cnt FROM Sightings GROUP BY oid))) t WHERE B.bid = S.bid AND S.oid = t.oid)"
2014	50056083	3	invalid syntax	"select count(distinct species) from Birds where bid in (select bid from Sightings where when = ""12/15/2013"" AND oid in (select oid from Sightings where Max(count oid)))"	SELECT Count(DISTINCT species) from Birds WHERE bid IN (SELECT bid FROM Sightings WHERE when = date('2013-12-15') AND oid IN (SELECT oid FROM Sightings WHERE MAX(Count(oid))))	empty
2014	50060162	9	"change position of LIMIT 1, AGGREGATE --> GROUP, rearrange subquery"	"SELECT DISTINCT B.species FROM Birds B WHERE B.bid in (SELECT S.bid FROM Sightings S WHERE S.oid in (SELECT LIMIT 1 T.oid FROM T ORDER BY Osum(SELECT S2.oid, SUM osum FROM Sightings S2 AGGREGATE BY S2.oid) T))"	"SELECT DISTINCT B.species FROM Birds B WHERE B.bid in (SELECT S.bid FROM Sightings S WHERE S.oid in (SELECT LIMIT 1 T.oid FROM T ORDER BY Osum(SELECT S2.oid, SUM osum FROM Sightings S2 AGGREGATE BY S2.oid) T))"	"SELECT DISTINCT B.species FROM Birds B WHERE B.bid in (SELECT S.bid FROM Sightings S WHERE S.oid in (SELECT T.oid FROM (SELECT S2.oid, SUM osum FROM Sightings S2 GROUP BY S2.oid) T ORDER BY osum LIMIT 1))"
2014	50060400	7	add more parenthesis	"SELECT COUNT(*) FROM (SELECT DISTINCT B.species FROM Birds B WHERE B.bid IN (SELECT S.bid FROM Sightings S GROUP BY S.oid HAVING COUNT(*) = SELECT MAX(ct) FROM (SELECT COUNT(*) AS ct FROM Sightings S1 WHERE S1.when = ""December 15, 2013"" GROUP BY S1.oid)))"	SELECT Count(*) FROM (SELECT DISTINCT B.species FROM Birds B WHERE B.bid IN (SELECT S.bid FROM Sightings S GROUP BY S.oid HAVING Count(*) = SELECT MAX(ct) FROM (SELECT Count(*) AS ct FROM Sightings S1 GROUP BY S1.oid HAVING S1.when = date('2013-12-15'))))	SELECT Count(*) FROM (SELECT DISTINCT B.species FROM Birds B WHERE B.bid IN (SELECT S.bid FROM Sightings S GROUP BY S.oid HAVING Count(*) = (SELECT MAX(ct) FROM (SELECT Count(*) AS ct FROM Sightings S1 GROUP BY S1.oid HAVING S1.col_when = date('2013-12-15')))))
2014	50061019	15	empty	"SELECT count(distinct b.species) FROM BIRDS b, Sightings S1 WHERE S1.bid = b.bid AND s1.oid IN (SELECT S2.oid, MAX(count*) FROM Sightings S2 GROUP BY S2.oid)"	"SELECT DISTINCT Count(*) FROM (SELECT species FROM Birds B, (SELECT S.bid FROM Sightings S WHERE S.oid IN (SELECT S1.oid FROM (SELECT S.oid FROM Sightings S WHERE S.when = date('2013-12-15')) S1 GROUP BY S1.oid ORDER BY Count(*) DESC LIMIT 1)))"	empty
2014	50062520	7	empty	"SELECT COUNT(DISTINCT Birds.species) FROM Birds, (SELECT COUNT(Sightings.bid) AS sums FROM Sightings GROUP BY Sightings.oid) Temp WHERE Birds.bid = Sightings.bid AND Temp.sums = MAX(SELECT COUNT(DISTINCT Sightings.bid) FROM Sightings WHERE Sightings.when = ""12/15/13"" GROUP BY Sightings.oid)"	"SELECT Count(DISTINCT Birds.species) FROM Birds, (SELECT Count(Sightings.bid) AS sums FROM Sightings GROUP BY Sightings.oid) Temp, Sightings WHERE Birds.bid = Sightings.bid AND Temp.sums = MAX(SELECT Count(DISTINCT Sightings.bid) FROM Sightings WHERE Sightings.when = date('2013-12-15') GROUP BY Sightings.oid)"	empty
2014	50064034	7	empty	"select count(s.bid) from Birds b, Sightings s where b.bid = s.bid group by s.oid having count(s.bid) = (select max(s2.maxbirds) from (select count(s1.bid) as maxbirds from sightings s1 where s1.when = date('12/15/2013') group by s1.oid) s2)"	"SELECT Count(s.bid) FROM Birds b, Sightings s WHERE b.bid = s.bid GROUP BY s.oid HAVING Count(s.bid) = (SELECT MAX(s2.maxbirds) FROM (SELECT Count(s1.bid) AS maxbirds FROM Sightings s1 WHERE s1.when = date('2013-12-15') GROUP BY s1.oid) s2)"	empty
2014	50093893	3	incomplete	"[incomplete] Select Count(*) From Birds B Where B.species IN (Select B.species From Birds B, Observers O, Sightings S Where B.bid = S.bid AND O.oid = S.oid AND HAVING)"	empty	empty
2014	50093954		answer in a different page	[answer in a different page]	empty	empty
2014	50095251	12	empty	"SELECT DISTINCT B.SPECIES FROM BIRDS B WHERE B.bid IN (SELECT P.oid, MAX(Counting), P.bid FROM (SELECT oid, COUNT(*) AS Counting FROM SIGHTINGS WHERE when = ""12/15/13"" GROUP BY oid) AS P)"	"SELECT DISTINCT B.species FROM Birds B WHERE B.bid IN (SELECT P.oid, MAX(Counting), P.bid FROM (SELECT oid, Ccount(*) AS Counting FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid) P)"	empty
2014	50095414	3	incorrect syntax	"[invalid syntax] Select count(distinct b.species) from birds b, observers o, sightings s where in (select max(count(o.oid)) where in (select s.bid where s.when = ""12/15/13"" and s.oid = o.oid))"	empty	empty
2014	50095529	4	incomplete	[incomplete query]	empty	empty
2014	50095906	4	empty	"[invalid syntax] select count(distinct b.species) from birds b, observers o, sightings s where o.oid = s.oid and s.bid = b.bid and s.oid = (select s.oid from sightings where when = ""12-15-2013"")"	"SELECT Count(DISTINCT b.species) FROM Birds b, Observers o, Sightings s WHERE o.oid = s.oid AND s.bid = b.bid AND s.oid = (SELECT s.oid FROM Sightings WHERE when = date('2013-12-15'))"	empty
2014	50096299	15	empty	"select count(*) from (select distinct species from birds where bid in (select bid from sightings where oid in (select oid, max(count(bid)) from sightings where when = date('12/15/13') group by oid)))"	"SELECT Count(*) FROM (SELECT DISTINCT species FROM birds WHERE bid IN (SELECT bid FROM Sightings WHERE oid IN (SELECT oid, MAX(Count(bid)) FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid)))"	empty
2014	50096311	12	empty	"SELECT DISTINCT SPECIES FROM Birds WHERE bid IN (SELECT bid FROM Sightings WHERE oid IN (SELECT oid, COUNT(*) AS num FROM Sightings WHERE when = '12/15/2013' GROUP BY oid ORDER BY num DESC LIMIT 1))"	"SELECT DISTINCT species FROM Birds WHERE bid IN (SELECT bid FROM Sightings WHERE oid IN (SELECT oid, COUNT(*) AS num FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid ORDER BY num DESC LIMIT 1))"	empty
2014	50096319	9	empty	"SELECT COUNT( DISTINCT B.species) FROM Birds B, Observers O, Sightings S WHERE O.oid IN (SELECT s.oid FROM (SELECT S.oid, COUNT(*) AS C FROM S GROUP BY S.oid) TEMP WHERE TEMP.C = MAX(TEMP.C)) AND S.when = '12/15/2013' AND S.oid = O.oid AND S.bid = B.bid"	"SELECT Count( DISTINCT B.species) FROM Birds B, Observers O, Sightings S WHERE O.oid IN (SELECT s.oid FROM (SELECT S.oid, COUNT(*) AS C FROM Sightings GROUP BY S.oid) TEMP WHERE TEMP.C = MAX(TEMP.C)) AND S.when = date('2013-12-15') AND S.oid = O.oid AND S.bid = B.bid"	empty
2014	50096348	0	blank	[blank]	empty	empty
2014	50096355	3	empty	"Select Count(Distinct bid) from Birds B NATURAL JOIN SIGHTINGS S NATURAL JOIN Observers O Group by s.oid where sum(distinct bid) > ALL(SELECT SUM(bid) from Sightings where when = ""12/15/2013"")"	SELECT Count(DISTINCT bid) FROM Birds B NATURAL JOIN Sightings S NATURAL JOIN Observers O GROUP BY S.oid WHERE SUM(DISTINCT bid) > ALL(SELECT SUM(bid) FROM Sightings WHERE when = date('2013-12-15'))	empty
2014	50096428	14	empty	"SELECT COUNT(DISTINCT species) FROM (SELECT * FROM Birds b1 WHERE b1.bid IN (SELECT s1.bid FROM Sightings s1 WHERE s1.oid = (SELECT s2.oid FROM Sightings s2 WHERE s2.when = ""12/15/2013"" GROUP BY s2.oid HAVING COUNT(*) = (SELECT MAX(COUNT(*)) FROM Sightings s3 WHERE when = ""12/15/2013"" GROUP BY s3.oid))))"	SELECT SUM(DISTINCT species) FROM (SELECT * FROM Birds b1 WHERE b1.bid IN (SELECT s1.bid FROM Sightings s1 WHERE s1.oid = (SELECT s2.oid FROM Sightings s2 WHERE s2.when = date('2013-12-15') GROUP BY s2.oid HAVING COUNT(*) = (SELECT MAX(Count(*)) FROM Sightings s3 WHERE when = date('2013-12-15') GROUP BY s3.oid))))	empty
2014	50096462	6	empty	"select count(distinct B.species) from Birds B, Observers O, Sightings S where B.bid = S.bid and S.oid = (select S1.oid from Sightings S1 where S1.when = ""12/15/14"" group by S1.oid having count(bid) = (select max(count(bid)) from Sightings group by bid))"	"SELECT DISTINCT B.species FROM Birds B, Observers O, Sightings S WHERE B.bid = S.bid and S.oid = (SELECT S1.oid FROM Sightings S1 WHERE S1.when = date('2013-12-15') GROUP BY S1.oid HAVING Count(bid) = (SELECT MAX(Count(bid)) FROM Sightings GROUP BY bid))"	empty
2014	50096465	7	empty	"SELECT COUNT(*) FROM (SELECT DISTINCT B.species FROM Birds B WHERE B.bid IN (SELECT S.bid FROM Sightings S GROUP BY S.oid HAVING COUNT(*) = SELECT MAX(ct) FROM (SELECT COUNT(*) AS ct FROM Sightings S1 WHERE S1.when = ""December 15, 2013"" GROUP BY S1.oid)))"	SELECT Count(DISTINCT bid) FROM Sightings WHERE oid = (SELECT oid FROM Sightings GROUP BY oid HAVING Count(*) = (SELECT MAX(NoOfBirds) FROM (SELECT COUNT(*) AS NoOfBirds FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid))) GROUP BY oid	empty
2014	50096536	9	incorrect syntax	"select distinct B.species from Birds B, Sightings S where B.bid = S.bid group by S.oid having count(O.oid) = (select max(count(*)) from Sightings S where S.when = ""12/15/13"" group by oid)"	"SELECT DISTINCT B.species FROM Birds B, Sightings S WHERE B.bid = S.bid GROUP BY S.oid HAVING Count(O.oid) = (SELECT MAX(Count(*)) FROM Sightings S WHERE S.when = date('2013-12-15') GROUP BY oid)"	empty
2014	50096537	3	incomplete	empty	empty	empty
2014	50096542	15	empty	"SELECT count( DISTINCT species) from Birds where bid IN (SELECT DISTINCT bid from Sightings where oid IN (SELECT oid from Sightings  GROUP BY oid HAVING count(*) = (SELECT MAX(P) FROM (SELECT oid, count(*) AS P from Sightings where when = '12/15/13' GROUP BY oid) AS Q)))"	"SELECT Count( DISTINCT species) FROM Birds WHERE bid IN (SELECT DISTINCT bid FROM Sightings WHERE oid IN (SELECT oid FROM Sightings GROUP BY oid HAVING Count(*) = (SELECT MAX(P) FROM (SELECT oid, Count(*) AS P FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid) AS Q)))"	empty
2014	50096547	3	incomplete	"[incomplete] SELECT COUNT(DISTINCT BID) FROM SIGHTINGS, BIRDS, OBSERVERS WHERE oid = (SELECT oid FROM SIGHTINGS WHERE COUNT(*) = SELECT MAX)"	empty	empty
2014	50096552	3	change position of GROUP BY	"select bid from birds where exists (select oid, bid from sightings having count(*) = (select count(*) from sightings s where s.when = ""15-Dec-2013"" group by bid order by bid DESC limit 1) group by bid)"	"SELECT bid FROM Birds WHERE Exists(SELECT oid, bid FROM Sightings HAVING Count(*) = (SELECT Count(*) FROM Sightings s WHERE s.when = date('2013-12-15') GROUP BY bid ORDER BY bid DESC LIMIT 1) GROUP BY bid)"	"SELECT bid FROM Birds WHERE EXISTS(SELECT oid, bid FROM Sightings GROUP BY bid HAVING Count(*) = (SELECT Count(*) FROM Sightings s WHERE s.col_when = date('2013-12-15') GROUP BY bid ORDER BY bid DESC LIMIT 1))"
2014	50096559	3	no answer	[no answer]	empty	empty
2014	50096612	3	remove DISTINCT keyword	"select A.speNum from (select count(bid) as Num, distinct count(species) as speNum from Sightings S, Birds B where S.bid = B.bid group by oid order by Num Desc limit 1) As A"	"SELECT A.speNum FROM (SELECT Count(bid) as Num, DISTINCT Count(species) as speNum FROM Sightings S, Birds B WHERE S.bid = B.bid GROUP BY oid ORDER BY Num DESC LIMIT 1) As A"	"SELECT A.speNum FROM (SELECT Count(bid) as Num, Count(species) as speNum FROM Sightings S, Birds B WHERE S.bid = B.bid GROUP BY oid ORDER BY Num DESC LIMIT 1) As A"
2014	50096621	12	empty	"SELECT DISTINCT SPECIES FROM BIRDS WHERE bid IN (SELECT BID FROM SIGHTINGS WHERE OID = (SELECT OID FROM SIGHTINGS WHERE WHEN = ""12/15/2013"" GROUP BY OID HAVING COUNT(*) = (SELECT MAX(COUNT(*)) AS AB FROM (SELECT MAX(COUNT(*)), OID FROM SIGHTINGS WHERE WHEN = ""12/15/2013"" GROUP BY OID))))"	"SELECT DISTINCT species FROM Birds WHERE bid IN (SELECT bid FROM Sightings WHERE oid = (SELECT oid FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid HAVING Count(*) = (SELECT MAX(Count(*)) AS AB FROM (SELECT MAX(Count(*)), oid FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid))))"	empty
2014	50096627	3	incorrect syntax	"Select Count(DISTINCT b.species) frombrids b where bid in (select s.bid from sightings s where o.oid in (select s.oid from sightings s where date = ""12/15/2013""))"	SELECT Count(DISTINCT b.species) FROM Birds b WHERE bid IN (SELECT s.bid FROM Sightings s WHERE o.oid IN (SELECT s.oid FROM Sightings s where date = date('2015-12-15')))	empty
2014	50096645	3	incomplete	[incomplete] select count(distinct b.species) from Birds b natural join Observers o natural join Sightings s where when = '12/15/13' and count(distinct b.bid) > ?	empty	empty
2014	50096690	12	empty	"Select COUNT(DISTINCT species) From Birds Where bid IN (Select S1.bid From Sightings S1 Where S1.oid = (Select S2.oid From Sightings S2 Where when = ""12/15/2013"" Group by S2.oid Having COUNT(bid) = (Select Max(cnt) From (Select count(bid) AS cnt From Sightings Where when = '12/15/13' Group by oid))))"	SELECT Count(DISTINCT species) FROM Birds WHERE bid IN (SELECT S1.bid FROM Sightings S1 WHERE S1.oid = (SELECT S2.oid FROM Sightings S2 WHERE when = date('2013-12-15') GROUP BY S2.oid HAVING Count(bid) = (SELECT MAX(cnt) FROM (SELECT Count(bid) AS cnt FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid))))	empty
2014	50096794	3	empty	"Select Count(DISTINCT b.species) frombrids b where bid in (select s.bid from sightings s where o.oid in (select s.oid from sightings s where date = ""12/15/2013""))"	"SELECT Count(DISTINCT b.species) FROM Birds B, Observers O, Sightings S WHERE S.when = date('2013-12-15') AND S.oid = O.oid AND S.bid = B.bid GROUP BY S.oid ORDER BY S.oid DESC LIMIT 1"	empty
2014	50096797	3	empty	Select max(bcount) from (Select count(bid) as bcount from Sightings S group by S.oid)	SELECT MAX(bcount) FROM (SELECT Count(bid) AS bcount FROM Sightings S group by S.oid)	empty
2014	50096799	15	empty	"Select count(*) From Sightings S2 group by S2.oid having count(*) = (Select max(Temp.count) from (Select count(*) as count, oid From Sightings S where when = ""12/15/13"" group by S.oid) as Temp)"	"SELECT Count(*) FROM Sightings S2 GROUP BY S2.oid HAVING Count(*) = (SELECT MAX(Temp.count) FROM (SELECT Count(*) as count, oid FROM Sightings S WHERE when = date('2013-12-15') GROUP BY S.oid) AS Temp)"	empty
2014	50096800	15	empty	"SELECT COUNT(DISTINCT(BID)) FROM SIGHTINGS WHERE OID = (SELECT OID FROM SIGHTINGS WHERE WHEN = DATE(""12/15/13"") GROUP BY OID HAVING COUNT(*) = (SELECT COUNT(*) AS C FROM SIGHTINGS WHERE WHEN = DATE(""12/15/13"") GROUP BY OID ORDER BY C LIMIT 1))"	SELECT Count(DISTINCT bid) FROM Sightings WHERE oid = (SELECT oid FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid HAVING Count(*) = (SELECT Count(*) AS C FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid ORDER BY C LIMIT 1))	empty
2014	50096802	9	"add Count(*) in HAVING clause, change position of MAX function"	select Distinct B.species From Birds B where B.bid IN (Select count(*) From Sightings S group by S.bid Having max(Select count(*) From Sightings S2 where when = '2013/15/12' group by S2.oid))	SELECT DISTINCT B.species FROM Birds B WHERE B.bid IN (SELECT Count(*) FROM Sightings S GROUP BY S.bid HAVING MAX(SELECT Count(*) FROM Sightings S2 WHERE when = date('2013-12-15') GROUP BY S2.oid))	SELECT DISTINCT B.species FROM Birds B WHERE B.bid IN (SELECT Count(*) FROM Sightings S GROUP BY S.bid HAVING Count(*) = (SELECT MAX(Count(*)) FROM Sightings S2 WHERE col_when = date('2013-12-15') GROUP BY S2.oid))
2014	50096806	7	empty	"select count(distinct b.species) from birds b, sightings s, observers o where b.bid = s.bid and o.oid = s.oid group by b.bid having count(*) = (select max(b.bid) from (select count(b.bid) from sightings s where o.oid = s.oid and s.when = ""Dec 15, 2013"" group by b.bid))"	"SELECT Count(DISTINCT b.species) FROM Birds b, Sightings s, Observers o WHERE b.bid = s.bid and o.oid = s.oid GROUP BY b.bid HAVING Count(*) = (SELECT MAX(b.bid) FROM (SELECT Count(b.bid) FROM Sightings s WHERE o.oid = s.oid AND s.when = date('2013-12-15') GROUP BY b.bid))"	empty
2014	50096808	7	empty	"select count(distinct b.species) from (select o.oid from (select max(max_count) from (select count(distinct b.species) AS max_count from birds b, observers o, sightings s where s.when = '12/15/2013')))"	"SELECT Count(DISTINCT b.species) FROM (SELECT o.oid FROM (SELECT MAX(max_count) FROM (SELECT Count(DISTINCT b.species) AS max_count FROM Birds b, Observers o, Sightings s WHERE s.when = date('2013-12-15'))))"	empty
2014	50096811	12	empty	"select count(*) from (select distinct bid from sightings where when = Date(""December 15, 2013"") group by oid having count(*) = (select max(birdcount) from (select oid, count(*) AS birdcount from sightings where when = Date(""Dec 15, 2013"") group by oid)))"	"SELECT Count(*) FROM (SELECT DISTINCT bid FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid HAVING Count(*) = (SELECT MAX(birdcount) FROM (SELECT oid, count(*) AS birdcount FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid)))"	empty
2014	50096812	4	empty	"select count(DisBirds) from (select DISTINCT(S.bid) as DisBirds from Sightings S where oid = (select S1.oid from Sightings S1 Group By S1.oid HAVING COUNT(*) = (Select MAX(OBMAX) from (Select S2.oid, COUNT(*) AS OBMAX from Sightings S2 Group By S2.oid))))"	"SELECT Count(DisBirds) FROM (SELECT DISTINCT(S.bid) AS DisBirds FROM Sightings S WHERE oid = (SELECT S1.oid FROM Sightings S1 GROUP BY S1.oid HAVING Count(*) = (SELECT MAX(OBMAX) FROM (SELECT S2.oid, Count(*) AS OBMAX FROM Sightings S2 GROUP BY S2.oid))))"	empty
2014	50096814	12	???	"SELECT COUNT(DISTINCT x.species) FROM (SELECT oid, species FROM observers, birds, sightings WHERE o.oid = (SELECT o.oid, count(bid) FROM observers o, birds b, sightings s WHERE s.when = DATE('12-15-2013') GROUP BY o.oid ORDER BY z DESC LIMIT 1)) as x"	"SELECT COUNT(DISTINCT x.species) FROM (SELECT oid, species FROM observers, birds, sightings WHERE o.oid = (SELECT o.oid, count(bid) FROM observers o, birds b, sightings s WHERE s.when = DATE('12-15-2013') GROUP BY o.oid ORDER BY z DESC LIMIT 1)) as x"	empty
2014	50096815	0	blank	[blank]	empty	empty
2014	50096821	6	empty	"SELECT COUNT(*) FROM (SELECT DISTINCT species FROM BIRDS, SIGHTINGS WHERE BIRDS.bid = SIGHTINGS.bid AND SIGHTINGS.when = '12/15/13' GROUP BY SIGHTINGS.OID HAVING COUNT(SIGHTINGS.OID) > ALL(SELECT COUNT(oid) FROM SIGHTINGS WHERE when = '12/15/13' GROUP BY oid))"	"SELECT Count(*) FROM (SELECT DISTINCT species FROM Birds, Sightings WHERE Birds.bid = Sightings.bid AND Sightings.when = date('2013-12-15') GROUP BY Sightings.oid HAVING Count(Sightings.oid) > ALL(SELECT Count(oid) FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid))"	empty
